Run MAP NCG@10 NCG@20 NCG@30 NCG@Threshold Threshold Last_Rel Norm_Threshold Norm_Last_Rel Cost Area WSS95 WSS100
AUTh/auth_run3_1000.task2 0.393 0.653 0.874 0.931 0.943 880.633333333 4295.033 0.419 0.437 -616.167 0.948 0.734 0.563
AUTh/auth_run2_1000.task2 0.4 0.655 0.883 0.943 0.944 880.633333333 3405.067 0.419 0.389 -628.167 0.95 0.749 0.611
AUTh/auth_run1_All.task2 0.4 0.655 0.883 0.943 1.0 7283.2 3405.067 1.0 0.389 4581.133 0.95 0.749 0.611
CNRS/cnrs_RF_bigram_ALL.task2 0.314 0.56 0.776 0.862 1.0 7283.2 5173.467 1.0 0.54 4607.567 0.918 0.617 0.46
CNRS/cnrs_combined_ALL.task2 0.337 0.557 0.774 0.862 1.0 7283.2 4378.9 1.0 0.49 4607.567 0.928 0.657 0.51
CNRS/cnrs_RF_unigram_ALL.task2 0.313 0.554 0.766 0.833 1.0 7283.2 5708.4 1.0 0.651 4607.567 0.891 0.513 0.349
ECNU/ECNU_RUN3_COMBINE.task2 0.001 0.0 0.0 0.0 1.0 190232.0 148744.0 0.998 0.78 11631.0 0.228 0.17 0.22
ECNU/ECNU_RUN2_LR.task2 0.081 0.232 0.414 0.539 0.371 466.233333333 4725.567 0.294 0.589 2846.8 0.601 0.019 0.0
ECNU/ECNU_RUN1_TFIDF.task2 0.142 0.259 0.462 0.58 0.52 465.033333333 7173.0 0.292 0.974 2970.367 0.67 0.027 0.026
IMS/ims_unipd_t1500.task2 0.316 0.544 0.761 0.843 0.945 2188.3 4259.233 0.674 0.604 323.633 0.896 0.543 0.396
IMS/ims_unipd_t1000.task2 0.317 0.542 0.765 0.857 0.92 1600.6 4101.867 0.583 0.59 131.933 0.9 0.572 0.41
IMS/ims_unipd_t500.task2 0.321 0.556 0.786 0.865 0.856 873.933333333 3935.667 0.416 0.524 535.267 0.911 0.616 0.475
SHEF/sheffield-feedback.task2 0.607 0.554 0.774 0.856 1.0 7283.2 5171.033 1.0 0.556 4640.533 0.918 0.635 0.444
SHEF/sheffield-general_terms.task2 0.258 0.373 0.635 0.773 1.0 7283.2 5519.2 1.0 0.569 4640.533 0.871 0.552 0.431
SHEF/sheffield-query_terms.task2 0.224 0.338 0.591 0.734 1.0 7283.2 5736.7 1.0 0.623 4640.533 0.849 0.506 0.377
UIC/uci_model8.task2 0.174 0.289 0.462 0.562 0.513 1752.6 6385.533 0.165 0.846 3503.933 0.733 0.255 0.154
UIC/uic_model7.task2 0.18 0.296 0.473 0.579 0.576 2120.96666667 6185.8 0.213 0.836 3470.3 0.744 0.264 0.164
UWaterloo/UWB.task2 0.378 0.656 0.883 0.944 0.927 1764.0 2655.0 0.524 0.39 725.333 0.949 0.756 0.61
UWaterloo/UWA.task2 0.362 0.651 0.877 0.945 0.99 2926.43333333 2545.8 0.654 0.392 465.767 0.945 0.751 0.608
